"Substrate_Diameter","Surface_Area"
17,1.905
13,3.496
12.3,6.16
11.5,1.791
10.1,1.927
10,0.786
9.4,2.468
8.5,0.566
8.3,1.272
8.3,0.899
8.3,0.863
8.3,0.609
8.2,0.777
8.1,1.302
8.1,0.648
8.1,0.261
8,6.698
7.7,5.583
7.2,1.403
7.1,0.52
6.3,2.073
6.1,1.237
5.1,1.26
4.7,0.719
4.4,1.686
4.4,0.968
4.3,0.745
4.2,1.032
4.1,0.79
4,4.331
3.9,0.941
3.8,2.329
3.6,2.56
3.5,2.441
3.5,2.263
3.5,2.097
3.5,1.18
3.5,0.769
3.4,4.119
3.4,1.883
3.3,2.259
3.3,1.19
3.2,2.411
3.2,2.206
3.2,1.508
3.2,1.384
3.2,1.023
3.1,2.874
3.1,2.475
3.1,1.528
3.1,1.332
3,4.383
3,4.313
3,2.228
3,1.799
3,0.957
3,0.824
2.9,0.822
2.8,1.571
2.8,0.572
2.7,2.269
2.6,2.885
2.6,1.058
2.5,3.831
2.3,6.912
2.3,4.761
2.3,0.477
2.2,2.663
2.2,1.007
2.2,0.826
2.1,6.675
2.1,2.669
2.1,1.754
2.1,1.599
2.1,1.425
2.1,1.089
2.1,0.386
1.9,3.015
1.9,2.301
1.8,2.398
1.8,1.089
1.8,0.992
1.6,4.59
1.6,3.408
1.6,2.941
1.5,2.074
1.5,0.487
1.4,1.122
1.3,4.786
1.3,2.698
1.3,2.295
1.3,1.46
1.3,0.608
1.2,1.403
1.2,0.839
1.2,0.518
1.1,5.626
1.1,4.631
1.1,4.405
1.1,3.954
1.1,3.885
1.1,3.117
1.1,2.217
1.1,1.858
1.1,1.57
1.1,1.48
1.1,1.049
1.1,0.816
1,5.059
1,3.447
1,3.041
1,2.991
1,2.815
1,1.869
1,0.91
1,0.698
0.9,6.251
0.9,3.39
0.9,1.395
0.8,3.999
0.8,3.633
0.8,3.157
0.7,7.705
0.7,2.45
0.7,2.407
0.7,1.958
0.7,1.609
0.7,0.991
0.6,6.122
0.6,5.801
0.6,3.077
0.6,2.802
0.6,2.645
0.6,2.206
0.6,2.018
0.6,1.9
0.6,0.91
0.5,2.917
0.5,2.611
0.5,2.343
0.5,1.884
0.5,1.547
0.5,1.262
0.5,1.173
0.5,0.623
0.48,1.073
0.4,3.149
0.4,2.545
0.4,1.723
0.4,1.059
0.4,1.044
0.4,0.71
0.3,4.908
0.3,2.875
0.3,2.456
0.3,2.137
0.3,2.006
0.3,1.92
0.3,1.82
0.3,1.813
0.3,1.216
0.3,0.873
0.2,3.401
0.2,2.999
0.2,2.458
0.2,1.84
0.2,0.991
0.1,2.353
0.1,1.873
0.1,1.79
0.1,1.568
0.1,1.421
0.1,0.721
0.1,0.701
